社員番号,資格名,取得年月日,(所属コード),(所属名4),(所属名5),(性別),(年齢),(勤続年数),(生年月日),(入社日),(退職日),(メール),(最終更新ユーザー),(最終更新日時)
995276,情報処理技術者試験：基本情報技術者試験,1985/12/1,8312,SS7部,SS7-2G,男性,63,41年0ヵ月,1962/11/4,1985/4/1,,,,2025/3/28 7:25
995276,情報処理技術者試験：応用情報技術者試験,2009/6/1,8312,SS7部,SS7-2G,男性,63,41年0ヵ月,1962/11/4,1985/4/1,,,,2025/3/28 7:25
995276,銀行業務検定：証券３級,2000/1/1,8312,SS7部,SS7-2G,男性,63,41年0ヵ月,1962/11/4,1985/4/1,,,,2025/3/28 7:25
995276,FP2級：個人資産相談業務,2010/6/1,8312,SS7部,SS7-2G,男性,63,41年0ヵ月,1962/11/4,1985/4/1,,,,2025/3/28 7:25
995276,FP2級：生保顧客資産相談業務,2009/3/1,8312,SS7部,SS7-2G,男性,63,41年0ヵ月,1962/11/4,1985/4/1,,,,2025/3/28 7:25
995276,FP2級：損保顧客資産相談業務,2010/10/1,8312,SS7部,SS7-2G,男性,63,41年0ヵ月,1962/11/4,1985/4/1,,,,2025/3/28 7:25
995276,FP2級：中小事業主資産相談業務,2011/10/1,8312,SS7部,SS7-2G,男性,63,41年0ヵ月,1962/11/4,1985/4/1,,,,2025/3/28 7:25
995276,FP3級：個人資産相談業務,2008/3/1,8312,SS7部,SS7-2G,男性,63,41年0ヵ月,1962/11/4,1985/4/1,,,,2025/3/28 7:25
995276,FP3級：保険顧客資産相談業務,2007/10/1,8312,SS7部,SS7-2G,男性,63,41年0ヵ月,1962/11/4,1985/4/1,,,,2025/3/28 7:25
995481,情報処理技術者試験：基本情報技術者試験,1999/6/1,8312,SS7部,SS7-2G,男性,58,35年0ヵ月,1967/7/11,1991/4/1,,,,2025/3/31 7:29
995481,銀行業務検定：金融経済３級,2002/1/1,8312,SS7部,SS7-2G,男性,58,35年0ヵ月,1967/7/11,1991/4/1,,,,2025/3/31 7:29
995481,銀行業務検定：証券３級,2001/1/1,8312,SS7部,SS7-2G,男性,58,35年0ヵ月,1967/7/11,1991/4/1,,,,2025/3/31 7:29
995481,銀行業務検定：信託実務３級,2004/1/1,8312,SS7部,SS7-2G,男性,58,35年0ヵ月,1967/7/11,1991/4/1,,,,2025/3/31 7:29
995481,銀行業務検定：投資信託３級,2004/3/1,8312,SS7部,SS7-2G,男性,58,35年0ヵ月,1967/7/11,1991/4/1,,,,2025/3/31 7:29
995481,銀行業務検定：年金アドバイザー３級,2002/1/1,8312,SS7部,SS7-2G,男性,58,35年0ヵ月,1967/7/11,1991/4/1,,,,2025/3/31 7:29
995481,銀行業務検定：確定拠出３級,2003/1/1,8312,SS7部,SS7-2G,男性,58,35年0ヵ月,1967/7/11,1991/4/1,,,,2025/3/31 7:29
995481,FP2級：個人資産相談業務,2012/6/1,8312,SS7部,SS7-2G,男性,58,35年0ヵ月,1967/7/11,1991/4/1,,,,2025/3/31 7:29
995481,FP3級：個人資産相談業務,2007/7/1,8312,SS7部,SS7-2G,男性,58,35年0ヵ月,1967/7/11,1991/4/1,,,,2025/3/31 7:29
995481,FP3級：保険顧客資産相談業務,2008/7/1,8312,SS7部,SS7-2G,男性,58,35年0ヵ月,1967/7/11,1991/4/1,,,,2025/3/31 7:29
995516,情報処理技術者試験：基本情報技術者試験,1989/12/1,8312,SS7部,SS7-2G,男性,55,35年0ヵ月,1971/1/11,1991/4/1,,,,2025/3/28 7:25
995516,銀行業務検定：投資信託３級,2006/1/1,8312,SS7部,SS7-2G,男性,55,35年0ヵ月,1971/1/11,1991/4/1,,,,2025/3/28 7:25
995516,銀行業務検定：保険販売３級,2008/11/1,8312,SS7部,SS7-2G,男性,55,35年0ヵ月,1971/1/11,1991/4/1,,,,2025/3/28 7:25
995516,FP3級：保険顧客資産相談業務,2008/3/1,8312,SS7部,SS7-2G,男性,55,35年0ヵ月,1971/1/11,1991/4/1,,,,2025/3/28 7:25
995586,情報処理技術者試験：基本情報技術者試験,1995/12/1,8312,SS7部,SS7-2G,男性,58,33年0ヵ月,1967/7/15,1993/4/1,,,,2025/4/1 8:33
995586,Oracle DB Silver,2000/11/1,8312,SS7部,SS7-2G,男性,58,33年0ヵ月,1967/7/15,1993/4/1,,,,2025/4/1 8:33
995673,情報処理技術者試験：基本情報技術者試験,2001/11/1,8311,SS7部,SS7-1G,女性,50,28年0ヵ月,1975/11/15,1998/4/1,,,,2026/1/14 10:01
995673,情報処理技術者試験：応用情報技術者試験,2017/6/21,8311,SS7部,SS7-1G,女性,50,28年0ヵ月,1975/11/15,1998/4/1,,,,2026/1/14 10:01
995673,銀行業務検定：証券３級,2002/1/1,8311,SS7部,SS7-1G,女性,50,28年0ヵ月,1975/11/15,1998/4/1,,,,2026/1/14 10:01
